month,region,omega,productivity,predictability,growth_rate,in_window
8,service,0.6706209463678525,3.033353334269666,0.9270283303626099,0.04412433996435132,1.0
9,service,0.6570106109831516,2.910522837164504,0.8998076595932081,0.043797691915118495,1.0
10,service,0.6711077304219312,3.037917423461193,0.9280018984707672,0.04413602278164921,1.0
11,service,0.663005951801594,2.9635216919866547,0.911798341230093,0.04394158009476112,1.0
12,service,0.6809353765489762,3.1327914307690006,0.9476571907248572,0.04437188628869829,1.0
13,service,0.7141549554848228,3.49829958390278,0.9859036514034496,0.044830843816841395,1.0
14,service,0.6986365641470852,3.318109095702543,0.9830595659210752,0.0447967147910529,1.0
15,service,0.7152648958288939,3.5119031140031574,0.9836837707153074,0.04480420524858369,1.0
16,service,0.7081271953538353,3.4261478844870545,0.9979591716654246,0.0449755100599851,1.0
17,service,0.6972676392059309,3.3030541667746514,0.9803217160387667,0.044763860592465204,1.0
18,service,0.6848678911922723,3.1722831898178696,0.9555222200114495,0.04446626664013739,1.0
19,service,0.6919732412890025,3.246013148743855,0.9697329202049099,0.04463679504245892,1.0
20,service,0.6742636614973351,3.0678102425666847,0.934313760621575,0.044211765127458905,1.0
21,service,0.6860838026058351,3.184679630932887,0.9579540428385751,0.0444954485140629,1.0
22,service,0.6711165376105693,3.0380001134760692,0.9280195128480435,0.04413623415417652,1.0
23,service,0.6845095593567567,3.1686468768953526,0.9548055563404183,0.04445766667608502,1.0
24,service,0.6973680608109339,3.3041542073662624,0.9805225592487727,0.044766270710985274,1.0
25,service,0.7062225695198188,3.403935894589715,0.9982315766665424,0.044978778919998505,1.0
26,service,0.7005485536479052,3.3393535184402787,0.9868835449227154,0.04484260253907259,1.0
27,service,0.7081112269540156,3.4259605142904777,0.9979911084650639,0.04497589330158077,1.0
28,service,0.7100375647137331,3.4487054081769775,0.9941384329456289,0.044929661195347546,1.0
29,service,0.6987805750169315,3.3197003664544424,0.9833475876607678,0.04480017105192922,1.0
30,service,0.7026219907015488,3.362683205209695,0.9910304190300026,0.044892365028360026,1.0
31,service,0.693500763620362,3.2622806218269127,0.9727879648676288,0.04467345557841154,1.0
32,service,0.6671446976069286,3.0011145209418335,0.9200758328407621,0.04404090999408915,1.0
33,service,0.666541018277271,2.9955784283569775,0.9188684741814468,0.04402642169017736,1.0
34,service,0.6737353077037624,3.0627687605335896,0.9332570530344297,0.04419908463641316,1.0
35,service,0.692107567766595,3.247437605670244,0.9700015731600948,0.044640018877921135,1.0
36,service,0.7170280921047173,3.533722835682118,0.9801573781636606,0.04476188853796393,1.0
37,service,0.7072970805996466,3.416433224679971,0.999619401173802,0.04499543281408562,1.0
38,service,0.7195428142095566,3.565297316294668,0.975127933953982,0.04470153520744778,1.0
39,service,0.712037479241999,3.4726255194701445,0.9901386038890971,0.044881663246669166,1.0
40,service,0.7103493607610695,3.452413955195051,0.9935148408509562,0.04492217809021148,1.0
41,service,0.6970709910418067,3.3009020271321083,0.9799284197105183,0.04475914103652622,1.0
42,service,0.704095279916511,3.379448061914141,0.9939769974599268,0.04492772396951912,1.0
43,service,0.7034929876998695,3.372575399731652,0.9927724130266438,0.044913268956319724,1.0
44,service,0.6870663027447184,3.1947618534531563,0.9599190431163416,0.0445190285173961,1.0
45,service,0.6992733196084242,3.3251558912000068,0.9843330768437533,0.044811996922125036,1.0
46,service,0.6926892968083059,3.253619974963626,0.9711650312435167,0.0446539803749222,1.0
47,service,0.6979968356927146,3.311057601465307,0.9817801090123341,0.04478136130814801,1.0
48,service,0.7120193870737517,3.4724077074681974,0.9901747882255918,0.0448820974587071,1.0
49,service,0.7213735968294445,3.588628228536189,0.9714663687142062,0.04465759642457048,1.0
50,service,0.733838704842672,3.75569108931682,0.9465361526877512,0.04435843383225302,1.0
51,service,0.721245382833632,3.5869847252638647,0.9717227967058311,0.044660673560469974,1.0
52,service,0.7075383012855596,3.419250778742315,0.9991369598019759,0.04498964351762372,1.0
53,service,0.7207654312165727,3.5808453697854663,0.9726826999399498,0.044672192399279394,1.0
54,service,0.7065472767235251,3.4077033094352878,0.9988809910739551,0.04498657189288746,1.0
55,service,0.7028164806461605,3.364887332417121,0.9914193989192259,0.044897032787030715,1.0
56,service,0.7103530615522606,3.4524580185983456,0.9935074392685739,0.04492208927122289,1.0
57,service,0.686397604542312,3.187893412688906,0.9585816467115289,0.044502979760538346,1.0
58,service,0.7043434807471523,3.3822879582078835,0.9944733991212094,0.04493368078945452,1.0
59,service,0.7129737200162851,3.4839326928882053,0.9882661223405249,0.0448591934680863,1.0
60,service,0.7186858899112923,3.5544771105833073,0.9768417825505105,0.044722101390606124,1.0
1,rural,0.4879480652733678,1.8568658193126835,0.5616825681736405,0.003947582771785307,0.0
2,rural,0.48251477937859566,1.8315392036146392,0.5508159963840962,0.0039036265655436235,0.0
3,rural,0.48373436304007134,1.8371968600667024,0.5532551637070475,0.003913493204625583,0.0
4,rural,0.4956799806735583,1.8934653603672145,0.5771463989740214,0.0040101352813635424,0.0
5,rural,0.48713528153079505,1.8530570011876968,0.560057000688495,0.003941007213180377,0.0
6,rural,0.48408912683213595,1.8388455467670044,0.5539646912911768,0.003916363303993274,0.0
7,rural,0.46625763865639025,1.757546493974615,0.5183017149396854,0.003772103534301532,0.0
8,rural,0.47155259006132655,1.7813643364566478,0.528891617749558,0.0038149405910113615,0.0
9,rural,0.4544891206295881,1.7055126434855066,0.494764678886081,0.0036768942234786228,0.0
10,rural,0.45126789253340216,1.691475809106095,0.4883222226937092,0.0036508339407528984,0.0
11,rural,0.45063548980969914,1.688729994479628,0.48705741724630314,0.003645717695245251,0.0
12,rural,0.4677142134081405,1.764072426269452,0.5212148644431859,0.003783887471578966,0.0
13,rural,0.49266667211649634,1.8791215705885467,0.5711197818598975,0.0039857571030439565,0.0
14,rural,0.48158089217064454,1.8272173931402975,0.5489482219681939,0.0038960712593230054,0.0
15,rural,0.4926861707282073,1.8792140538547597,0.5711587790833195,0.003985914850126365,0.0
16,rural,0.5113394340155999,1.969760559978377,0.6084653056581046,0.004136822920126874,0.0
17,rural,0.4952658929635855,1.8914880604906068,0.5763182235540758,0.004006785241418244,0.0
18,rural,0.4944126222198975,1.887419868630321,0.5746116820666999,0.003999882136093778,0.0
19,rural,0.4637454686019925,1.7463366501361566,0.5132773748308899,0.003751779651633856,0.0
20,rural,0.4460029293988274,1.668713253465535,0.47779229642455967,0.003608239494246613,0.0
21,rural,0.4759954542764734,1.801555500427038,0.5377773461798516,0.003850884117548902,0.0
22,rural,0.4555336295510027,1.7100826261639015,0.4968536967289102,0.0036853444781606297,0.0
23,rural,0.47477823577188627,1.7960045516846836,0.5353429091706774,0.0038410366129881164,0.0
24,rural,0.48538081364983393,1.8448596394985937,0.5565480649265727,0.003926813269862551,0.0
25,rural,0.4856461168366787,1.8460970896258444,0.5570786713002622,0.003928959617730744,0.0
26,rural,0.5128400302647107,1.9772346739918205,0.6114664981563263,0.004148962998799134,0.0
27,rural,0.5158184290477448,1.9921584295452308,0.6174232957223944,0.004173058751114136,0.0
28,rural,0.5060169598144236,1.9434867650252747,0.5978203572557521,0.004093763199318136,0.0
29,rural,0.49537424421284443,1.8920052541923247,0.5765349260525937,0.004007661821438366,0.0
30,rural,0.4887348844939916,1.8605598208481504,0.5632562066148881,0.003953948272995163,0.0
31,rural,0.4700293460729091,1.774485509736643,0.525845129772723,0.0038026172882792693,0.0
32,rural,0.4708888631790514,1.7783642993459596,0.5275641639850076,0.00380957092773752,0.0
33,rural,0.47014358567513476,1.7750006422549962,0.5260736089771744,0.0038035415060755813,0.0
34,rural,0.4671699511094557,1.7616316657620885,0.5201263398458162,0.0037794842970886302,0.0
35,rural,0.4879632104673158,1.8569368599785263,0.5617128585615364,0.003947705298978177,0.0
36,rural,0.4793508607074497,1.8169337345049879,0.5444881590418043,0.003878029925805851,0.0
37,rural,0.4967285803929656,1.898481407783417,0.579243598412836,0.004018618631296515,0.0
38,rural,0.48951458729403147,1.864227108475895,0.5648156122149678,0.0039602562011531025,0.0
39,rural,0.5145169209153697,1.985622315683624,0.6148202794576443,0.004162529329140049,0.0
40,rural,0.5146648942816278,1.9863642762927236,0.6151162261901604,0.004163726458820226,0.0
41,rural,0.5076991524648256,1.9517514369788016,0.601184742556556,0.004107372423738014,0.0
42,rural,0.5176667267603333,2.001480200230089,0.6211198911475715,0.004188011793715621,0.0
43,rural,0.49343358266738074,1.8827623304775876,0.5726536029616663,0.003991961539732265,0.0
