omega,productivity,predictability,growth_rate,gini,in_window
3.140000000000000013e-01,1.148660064692169636e+00,2.137864376269048572e-01,2.540313362337335255e-03,4.032250689869868454e-01,0.000000000000000000e+00
3.160000000000000031e-01,1.156059275513363183e+00,2.177864376269048607e-01,2.556493702224834231e-03,4.045194961779867704e-01,0.000000000000000000e+00
3.180000000000000049e-01,1.163467485493335341e+00,2.217864376269048643e-01,2.572674042112332773e-03,4.058139233689866399e-01,0.000000000000000000e+00
3.200000000000000067e-01,1.170884915212898392e+00,2.257864376269048678e-01,2.588854381999832182e-03,4.071083505599866204e-01,0.000000000000000000e+00
3.220000000000000084e-01,1.178311787855588877e+00,2.297864376269048714e-01,2.605034721887331157e-03,4.084027777509864898e-01,0.000000000000000000e+00
3.240000000000000102e-01,1.185748329246168131e+00,2.337864376269048750e-01,2.621215061774829699e-03,4.096972049419864148e-01,0.000000000000000000e+00
3.260000000000000120e-01,1.193194767889810048e+00,2.377864376269048785e-01,2.637395401662329109e-03,4.109916321329863398e-01,0.000000000000000000e+00
3.280000000000000138e-01,1.200651335011988730e+00,2.417864376269048821e-01,2.653575741549828084e-03,4.122860593239862648e-01,0.000000000000000000e+00
3.300000000000000155e-01,1.208118264599078673e+00,2.457864376269048856e-01,2.669756081437326626e-03,4.135804865149861342e-01,0.000000000000000000e+00
3.320000000000000173e-01,1.215595793439687489e+00,2.497864376269048892e-01,2.685936421324826035e-03,4.148749137059861147e-01,0.000000000000000000e+00
3.340000000000000191e-01,1.223084161166729134e+00,2.537864376269048927e-01,2.702116761212325011e-03,4.161693408969859842e-01,0.000000000000000000e+00
3.360000000000000209e-01,1.230583610300262087e+00,2.577864376269048963e-01,2.718297101099823553e-03,4.174637680879859092e-01,0.000000000000000000e+00
3.380000000000000226e-01,1.238094386291100468e+00,2.617864376269048998e-01,2.734477440987322962e-03,4.187581952789858342e-01,0.000000000000000000e+00
3.400000000000000244e-01,1.245616737565220067e+00,2.657864376269049034e-01,2.750657780874821937e-03,4.200526224699857591e-01,0.000000000000000000e+00
3.420000000000000262e-01,1.253150915568972179e+00,2.697864376269049069e-01,2.766838120762320479e-03,4.213470496609856841e-01,0.000000000000000000e+00
3.440000000000000280e-01,1.260697174815128552e+00,2.737864376269049105e-01,2.783018460649819888e-03,4.226414768519856091e-01,0.000000000000000000e+00
3.460000000000000298e-01,1.268255772929766101e+00,2.777864376269049140e-01,2.799198800537318864e-03,4.239359040429855341e-01,0.000000000000000000e+00
3.480000000000000315e-01,1.275826970700018048e+00,2.817864376269049176e-01,2.815379140424817406e-03,4.252303312339854036e-01,0.000000000000000000e+00
3.500000000000000333e-01,1.283411032122705242e+00,2.857864376269049211e-01,2.831559480312316815e-03,4.265247584249853841e-01,0.000000000000000000e+00
3.519999999999999796e-01,1.291008224453868536e+00,2.897864376269048137e-01,2.847739820199814923e-03,4.278191856159851980e-01,0.000000000000000000e+00
3.539999999999999813e-01,1.298618818259222207e+00,2.937864376269048172e-01,2.863920160087313899e-03,4.291136128069851230e-01,0.000000000000000000e+00
3.559999999999999831e-01,1.306243087465544184e+00,2.977864376269048208e-01,2.880100499974813308e-03,4.304080399979850480e-01,0.000000000000000000e+00
3.579999999999999849e-01,1.313881309413029941e+00,3.017864376269048243e-01,2.896280839862311850e-03,4.317024671889849730e-01,0.000000000000000000e+00
3.599999999999999867e-01,1.321533764908628283e+00,3.057864376269048279e-01,2.912461179749810825e-03,4.329968943799848979e-01,0.000000000000000000e+00
3.619999999999999885e-01,1.329200738280377658e+00,3.097864376269048314e-01,2.928641519637310234e-03,4.342913215709848229e-01,0.000000000000000000e+00
3.639999999999999902e-01,1.336882517432770312e+00,3.137864376269048350e-01,2.944821859524808776e-03,4.355857487619847479e-01,0.000000000000000000e+00
3.659999999999999920e-01,1.344579393903162279e+00,3.177864376269048385e-01,2.961002199412307752e-03,4.368801759529846174e-01,0.000000000000000000e+00
3.679999999999999938e-01,1.352291662919256066e+00,3.217864376269048421e-01,2.977182539299807161e-03,4.381746031439845979e-01,0.000000000000000000e+00
3.699999999999999956e-01,1.360019623457677573e+00,3.257864376269048456e-01,2.993362879187305703e-03,4.394690303349844673e-01,0.000000000000000000e+00
3.719999999999999973e-01,1.367763578303671901e+00,3.297864376269048492e-01,3.009543219074804678e-03,4.407634575259843923e-01,0.000000000000000000e+00
3.739999999999999991e-01,1.375523834111944232e+00,3.337864376269048527e-01,3.025723558962304088e-03,4.420578847169843173e-01,0.000000000000000000e+00
3.760000000000000009e-01,1.383300701468670013e+00,3.377864376269048563e-01,3.041903898849802629e-03,4.433523119079842423e-01,0.000000000000000000e+00
3.780000000000000027e-01,1.391094494954702832e+00,3.417864376269048599e-01,3.058084238737301605e-03,4.446467390989841117e-01,0.000000000000000000e+00
3.800000000000000044e-01,1.398905533210003993e+00,3.457864376269048634e-01,3.074264578624801014e-03,4.459411662899840922e-01,0.000000000000000000e+00
3.820000000000000062e-01,1.406734138999322870e+00,3.497864376269048670e-01,3.090444918512299556e-03,4.472355934809839617e-01,0.000000000000000000e+00
3.840000000000000080e-01,1.414580639279160224e+00,3.537864376269048705e-01,3.106625258399798532e-03,4.485300206719838867e-01,0.000000000000000000e+00
